id,title,year,url,abstract,triage_score,matches_known_d01_anchor,screening_status,provenance,abstract_provenance
doi:10.1115/gt2020-15403,Blade Tip Clearance Measurement Systems for High Speed Turbomachinery Applications and the Potential for Blade Tip Timing Applications,2020,https://doi.org/10.1115/gt2020-15403,"Abstract As turbomachinery OEMs focus efforts to further increase reliability, power and efficiencies, the running clearance between blade tips and stator continue to be of the utmost importance. This paper investigates the capability of capacitive tip clearance systems to perform individual blade tip clearance measurements on high speed rotors of up to 90,000rpm. A rotor was designed using finite element analysis; unique blade responses have been predicted. The objective of this investigation was to consider two different approaches to the application of blade tip clearance measurements and the system requirements to accurately measure low levels of radial displacement of a target rotating between 1,000rpm and 90,000rpm. The first uses the standard approach with passive probes and the second, a new technique using active probes that have demonstrated bandwidths of 1.2MHz and increased measuring range with a lower level of measurement uncertainty. Both systems’ approaches are compared, and their capabilities are evaluated for high-speed applications. The higher bandwidth capabilities of the latter system, combined with smaller sensor diameters, produces comparable signal rise times to the optical systems used in blade tip timing measurements. The difference in approach offers the potential of contamination resistant sensors for long term blade tip timing applications and measurement probes that do not require cooling",10,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 22, ""source_id"": ""doi:10.1115/gt2020-15403""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 22, ""source_id"": ""doi:10.1115/gt2020-15403""}"
doi:10.1016/j.heliyon.2024.e25296,Numerical investigation on the influence of nonuniform tip clearance on rotor tip-clearance flow field structure,2024,https://doi.org/10.1016/j.heliyon.2024.e25296,,9,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 22, ""source_id"": ""doi:10.1016/j.heliyon.2024.e25296""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 22, ""source_id"": ""doi:10.1016/j.heliyon.2024.e25296""}"
doi:10.1016/j.measurement.2024.115777,Improving the blade tip clearance measurement method based on blade tip timing: Accounting for rotor speed variations and non-uniform blade-by-blade tip clearance,2025,https://doi.org/10.1016/j.measurement.2024.115777,,9,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 7, ""source_id"": ""doi:10.1016/j.measurement.2024.115777""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 2, ""source_id"": ""doi:10.1016/j.measurement.2024.115777""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 5, ""source_id"": ""doi:10.1016/j.measurement.2024.115777""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 7, ""source_id"": ""doi:10.1016/j.measurement.2024.115777""}"
doi:10.1063/1.4964858,On the development of a magnetoresistive sensor for blade tip timing and blade tip clearance measurement systems,2016,https://doi.org/10.1063/1.4964858,"A simultaneous blade tip timing (BTT) and blade tip clearance (BTC) measurement system enables the determination of turbomachinery blade vibrations and ensures the monitoring of the existing running gaps between the blade tip and the casing. This contactless instrumentation presents several advantages compared to the well-known telemetry system with strain gauges, at the cost of a more complex data processing procedure. The probes used can be optical, capacitive, eddy current as well as microwaves, everyone with its dedicated electronics and many existing different signal processing algorithms. Every company working in this field has developed its own processing method and sensor technology. Hence, repeating the same test with different instrumentations, the answer is often different. Moreover, rarely it is possible to achieve reliability for in-service measurements. Developments are focused on innovative instrumentations and a common standard. This paper focuses on the results achieved using a novel magnetoresistive sensor for simultaneous tip timing and tip clearance measurements. The sensor measurement principle is described. The sensitivity to gap variation is investigated. In terms of measurement of vibrations, experimental investigations were performed at the Air Force Institute of Technology (ITWL, Warsaw, Poland) in a real aeroengine and in the von Karman Institute (VKI) R2 compressor rig. The advantages and limitations of the magnetoresistive probe for turbomachinery",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 17, ""source_id"": ""doi:10.1063/1.4964858""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 17, ""source_id"": ""doi:10.1063/1.4964858""}"
doi:10.1115/1.3230742,Laser-Optical Blade Tip Clearance Measurement System,1981,https://doi.org/10.1115/1.3230742,"The need for blade tip clearance instrumentation has been intensified recently by advances in technology of gas turbine engines. A new laser-optical measurement system has been developed to measure single blade tip clearances and average blade tip clearances between a rotor and its gas path seal in rotating component rigs and complete engines. The system is applicable to fan, compressor and turbine blade tipe clearance measurements. The engine mounted probe is particularly suitable for operation in the extreme turbine environment. The measurement system consists of an optical subsystem, an electronic subsystem and a computing and graphic terminal. Bench tests and environmental tests were conducted to confirm operation at temperatures, pressures, and vibration levels typically encountered in an operating gas turbine engine.",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 7, ""source_id"": ""doi:10.1115/1.3230742""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 7, ""source_id"": ""doi:10.1115/1.3230742""}"
doi:10.1115/2000-gt-0416,Non-Uniform Flow in a Compressor due to Asymmetric Tip Clearance,2000,https://doi.org/10.1115/2000-gt-0416,"This paper presents an analytical study of flow redistribution in a compressor stage due to asymmetric tip clearance distribution. The entire stage is modeled as an actuator disc, and it is assumed that upstream and downstream flow fields are determined by the local tip clearance. The flow is assumed to be inviscid and incompressible. First, an axisymmetric flow model is used to connect upstream and downstream flows. Second, a linear perturbation approximation is used for non-axisymmetric analysis in which each flow variable is assumed to consist of a mean (axisymmetric value) plus a small perturbation (asymmetric value). Thus, the perturbations in velocity and pressure induced by the tip clearance asymmetry are predicted. Furthermore, rotordynamic effects of such flow non-uniformity are examined as well.",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 27, ""source_id"": ""doi:10.1115/2000-gt-0416""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 27, ""source_id"": ""doi:10.1115/2000-gt-0416""}"
doi:10.1115/78-gt-164,Turbine Blade Tip Clearance Measurement Utilizing Borescope Photography,1978,https://doi.org/10.1115/78-gt-164,"In this paper, a technique is presented for the detrmination of turbine rotor bade tip-to-stationary shroud clearance requirements utilizing fiber optics. To accomplish these tip clearance determinations, special rub pins were installed in the turbine shrouds, or tip-shoes, of a 10,000-hp engine. A test procedure was created based upon a transient dimensional analysis, and a cooled borescope and camera were developed. The clearances are presented from a series of successive engine tests.",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 12, ""source_id"": ""doi:10.1115/78-gt-164""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 12, ""source_id"": ""doi:10.1115/78-gt-164""}"
doi:10.1115/91-gt-164,Turbine Blade Tip Clearance Improvement,1991,https://doi.org/10.1115/91-gt-164,"A recently developed non-traditional design concept addressing turbine blade tip clearance reduction to provide long-term engine performance improvement and stability is presented. The concept is based on the direct attachment of the diaphragm, which supports Stage 1 integral nozzle and tips shroud segments, to the bearing housing, thus providing a close thermal link between the rotor and the stator. Transient thermal matching between the rotating and stationary structures was based on analytical prediction. Results of the complex turbine hot section study including cooling flow, thermal, stress, and deflection analyses are presented. An advanced tip clearance measurement technique was used in the full scale engine test to verify the analytical predictions. The potential to reduce tip clearance to less than 1% of blade height without blade tip rubs has been demonstrated. Extensive field operating experience with more than 100 Centaur Type ‘H’ engines showed very light or no blade tip rub and corresponding engine performance stability during long-term operation.",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 27, ""source_id"": ""doi:10.1115/91-gt-164""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 27, ""source_id"": ""doi:10.1115/91-gt-164""}"
doi:10.1115/gt2022-82750,Analytical Methods for Transonic Compressor Rotor Blade Tip Clearance Measurements Using Capacitive Probes,2022,https://doi.org/10.1115/gt2022-82750,"Abstract A method is presented to improve the capability of proximity sensing capacitive probes used in rotor blade tip clearance (BTC) measurements. This research presents the development and result of a post-processing method used to calibrate capacitive probe instrumentation that will be used to passively analyze BTC of a transonic axial fan under high-speed and high-transient loading. The method attempts to address limitations currently placed on BTC measurements due to poor a SNR. Each revolution’s raw capacitive probe signal is uniformly resampled to a synchronizing once-per-revolution signal, normalizing the data. This reduces timing inaccuracies in the sampling frequency inherent to the data acquisition system and transfers data into a spatial domain removing time dependence and rotational speed variance, which in turn improves the SNR. A Fast Fourier Transform (FFT) is used to identify acceptable lowpass filter passbands that are then adaptively applied to this resampled data based on tip clearance distance. This produces increased precision and dynamic range in capacitive probe calibration compared to existing BTC calibration methods. Use of the proposed method gives the potential ability to operate capacitive probes at larger ranges and in poor SNR environments and gives a possible application in monitoring rotor blade integrity, at a low, additional computation time cost.",9,False,UNSCREENED,"[{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 36, ""source_id"": ""doi:10.1115/gt2022-82750""}]","{""abstract_available"": true, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 36, ""source_id"": ""doi:10.1115/gt2022-82750""}"
doi:10.2139/ssrn.4820937,Improving the Blade Tip Clearance Measurement Method Based on Blade Tip Timing: Accounting for Rotor Speed Variations and Non-Uniform Blade-by-Blade Tip Clearance,2024,https://doi.org/10.2139/ssrn.4820937,,9,False,UNSCREENED,"[{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 1, ""source_id"": ""doi:10.2139/ssrn.4820937""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""ducted fan tip clearance ovality"", ""rank"": 35, ""source_id"": ""doi:10.2139/ssrn.4820937""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""tip clearance optical capacitive measurement fan blade"", ""rank"": 1, ""source_id"": ""doi:10.2139/ssrn.4820937""}, {""abstract_available"": false, ""db"": ""crossref"", ""query"": ""non-axisymmetric tip clearance rotor performance"", ""rank"": 1, ""source_id"": ""doi:10.2139/ssrn.4820937""}]","{""abstract_available"": false, ""db"": ""crossref"", ""query"": ""ducted fan non-uniform tip clearance experimental"", ""rank"": 1, ""source_id"": ""doi:10.2139/ssrn.4820937""}"
