id,day,priority,owner,depends_on,task,deliverable,acceptance_criteria,verification,estimate_hours,status,evidence,blocker
"SSY-CAD-01","conditional","P2","Agent","SSY-01;SSY-02;SSY-03;XC-02","Translate SSY-03 into a CAD parameter and defect contract","NEW cad/shroud/parameters.csv; cad/shroud/design-inputs.md","Draft rotor frame, duct profile, uniform/two-lobe/seam/radial-step definitions, equal-mean convention and source status. Released parameter values depend on completion of SSY-01/02/03; do not invent those decisions.","Review mappings to SSY-03 and matched-thrust protocol; list undecided amplitudes, tolerances and metrology resolution explicitly.","2","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-02","conditional","P2","Owner","SSY-CAD-01;SSY-01;SSY-02;SSY-03;XC-02","Approve reference geometry and design/fabrication input split","NEW cad/shroud/owner-inputs.md","Confirm SSY-01/02/03 decisions and a sourced nominal rotor/reference profile for desk CAD. Separately record actual stand, probe and qualified containment access as available or pending; missing hardware does not prevent a clearly nominal design-only floor.","Sign parameter contract and identify which interfaces are provisional; no fabrication release from assumed stand dimensions.","2","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-10","conditional","P2","Agent","SSY-CAD-02;XC-02","Establish code-CAD regeneration and CI geometry tests","NEW cad/requirements.lock; cad/generate.py; cad/tests/; .github/workflows/cad-geometry.yml","Use CadQuery for parameter-driven families and neutral STEP checks, Onshape for hand-modeled fixtures after confirming account/access. Pin Python/CadQuery/OCP dependencies after a clean isolated install and export/reimport smoke test. Add geometry CI before accepting a parametric model; screenshots are supplementary, not acceptance.","Proposed commands, NOT YET IMPLEMENTED: python cad/generate.py --parameters <registered-parameters.csv> --output <temporary-output>; python -m pytest cad/tests -q. Assert geometry metrics against a reviewed contract with declared tolerances; prove failure on an altered parameter, invalid dimensions, missing inputs and bad STEP. Retain version lock, numeric JSON and STEP outputs.","3","deferred","","Requires predecessor acceptance and owner promotion where parked. Tool installation and geometry tests have not run."
"SSY-CAD-03","conditional","P2","Agent","SSY-CAD-02;SSY-CAD-10","Model open-rotor carrier and continuous reference duct","NEW cad/shroud/reference/ (source, STEP, datums)","Use shared rotor-axis/stand datums and nominal profile; model monolithic reference plus removable open-rotor configuration without silently changing support blockage. Register static clearance, inlet arrangement and surface finish assumptions.","Check symmetry, mounting repeatability, inlet/support obstruction and section dimensions; retain source-generated nominal gap samples.","4","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-04","conditional","P2","Agent","SSY-CAD-03","Model uniform-clearance and two-lobe inserts","NEW cad/shroud/inserts/harmonics/ (source, STEP, parameter cases)","Parameterize interchangeable uniform and two-lobe treatments at the registered equal mean; isolate amplitude from mounting changes. Reject intersecting rotor envelopes and record minimum static clearance independently of mean.","Regenerate each registered case; sample clearance around the full circumference and compare mean/harmonic amplitude against the contract, including zero-amplitude equivalence. CadQuery CI regenerates parameter rows, exports/reimports STEP and asserts clearance mean/harmonics/minimum, domain masks and volume against declared tolerances. Missing seam walls remain undefined, not fictitious finite radii. Test zero-defect and invalid-overlap cases.","4","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-05","conditional","P2","Agent","SSY-CAD-03","Model discrete seam and radial-step insert families","NEW cad/shroud/inserts/discrete/ (source, STEP, detail drawings)","Define seam width/depth and local radial steps with explicit averaging convention, seam endpoint treatment and unchanged reference datums. Seam belongs to the pilot; step fabrication/testing requires its registered extension. A missing wall cannot be assigned a fictitious finite radial clearance.","Check limiting zero-defect cases, domain of clearance sampling and equal-mean calculation; retain descriptor/geometry correspondence and separate undefined seam samples. CadQuery CI regenerates parameter rows, exports/reimports STEP and asserts clearance mean/harmonics/minimum, domain masks and volume against declared tolerances. Missing seam walls remain undefined, not fictitious finite radii. Test zero-defect and invalid-overlap cases.","4","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-06","conditional","P2","Agent","SSY-CAD-02;SSY-CAD-03;SSY-CAD-04;SSY-CAD-05","Model exchange, alignment and clearance-metrology interfaces","NEW cad/shroud/stand-interface/ (source, STEP, probe-access drawings)","Design indexing/retention, rotor-axis alignment and dynamic-clearance probe/camera access around actual or explicitly nominal instruments. Keep the experimental duct distinct from qualified blade containment; external shielding must not bias inlet flow unnoticed.","Review repeatability stack-up, sensor line of sight, installation/removal and inlet obstruction. Pending actual hardware blocks fabrication, not nominal floor CAD.","4","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-07","conditional","P2","Agent","SSY-CAD-04;SSY-CAD-05;SSY-CAD-06","Release the rigid-defect inspection and CAD evidence pack","NEW cad/shroud/release/ (BOM, drawings, export/descriptor manifest, inspection sheets)","Deliver native/source version, STEP, defect parameters, toleranced datums, comparable cross-section/exploded views and individual specimen inspection points. Split nominal design review from fabrication release; reconcile SSY-04 acceptance without claiming SSY-06 research floor complete.","Reopen all exports, compare profile/clearance descriptors and check units/part IDs. Retain hashes and review findings; data collection requires qualified measurement system and facility approval.","3","deferred","","Entire branch parked pending its owner/research entry decision; no active CAD hours authorized by this schedule."
"SSY-CAD-08","conditional","P2","Agent","XC-02","Details withheld pending XC-02","Withheld","Details withheld pending a source-linked owner disclosure-path decision.","Verify XC-02 closure before adding task detail.","","deferred","","XC-02 unresolved; scope and estimate withheld, not zero."
"SSY-CAD-09","conditional","P2","Agent","XC-02","Details withheld pending XC-02","Withheld","Details withheld pending a source-linked owner disclosure-path decision.","Verify XC-02 closure before adding task detail.","","deferred","","XC-02 unresolved; scope and estimate withheld, not zero."
